,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
0,-0.4545454545454546,0.0,1.0,6,1,-0.4285714285714286,-0.33333333333333337,0.0,1,1,-0.02499999999999991,0,1,0,-1.0,0,8980,6,-0.5,-0.33333333333333337,0.5,0.33333333333333326,1.0,0.7142857142857142,0.25,0,0,0,1.0,0.5,0.0,1995,1
1,0.4545454545454546,-0.5,-0.6666666666666667,17,1,0.7142857142857142,0.5,-0.5,1,1,0.55,1,1,0,-1.0,0,14213,11,-0.5,-0.33333333333333337,0.5,0.33333333333333326,-1.0,0.7142857142857142,0.75,0,0,0,-1.0,0.5,-1.0,1996,1
2,-0.6363636363636364,-1.0,0.6666666666666665,17,1,-0.7142857142857143,-0.5,-0.5,1,1,-0.3999999999999999,0,2,1,-1.0,0,5060,15,-0.5,0.33333333333333337,0.5,0.33333333333333326,-0.33333333333333337,-0.1428571428571429,-0.25,0,0,0,-0.33333333333333337,0.5,-1.0,1994,2
3,-1.0,-1.0,-0.33333333333333337,9,1,1.0,-0.8333333333333334,-1.0,1,2,-0.29999999999999993,0,1,0,-1.0,0,2895,4,-0.5,0.33333333333333337,0.5,0.33333333333333326,1.0,0.1428571428571428,0.0,0,0,0,0.33333333333333326,0.5,-1.0,1994,1
4,0.2727272727272727,0.5,1.0,3,1,-0.7142857142857143,0.33333333333333326,0.5,1,1,0.3250000000000002,1,1,0,-0.6,0,1882,9,-0.5,0.33333333333333337,1.0,-0.33333333333333337,-1.0,0.7142857142857142,0.5,0,0,0,-1.0,0.5,-1.0,1994,1
5,-0.6363636363636364,-1.0,0.0,9,1,-0.4285714285714286,-0.5,0.0,1,1,-0.1499999999999999,0,1,0,-1.0,0,1265,3,-0.5,0.9999999999999999,0.5,0.33333333333333326,-1.0,0.1428571428571428,0.0,0,0,0,-1.0,0.5,-1.0,1994,1
6,-0.8181818181818181,-0.5,0.0,6,1,-0.4285714285714286,1.0,0.5,1,2,-0.3999999999999999,0,2,1,-1.0,0,13084,1,-0.5,-1.0,0.5,0.33333333333333326,-0.33333333333333337,-0.1428571428571429,-0.25,0,0,0,1.0,0.0,-0.5,1996,2
7,-0.2727272727272727,1.0,-0.33333333333333337,13,1,-0.4285714285714286,-0.16666666666666674,1.0,0,1,-0.125,1,0,0,-1.0,0,102,10,-0.5,0.9999999999999999,0.5,0.33333333333333326,-1.0,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,1994,0
8,0.8181818181818183,0.5,0.6666666666666665,2,1,1.0,0.8333333333333333,0.5,1,1,0.050000000000000044,0,0,0,1.0,0,9315,1,-0.5,0.9999999999999999,0.5,0.33333333333333326,-1.0,0.1428571428571428,0.25,0,0,0,-1.0,0.5,-1.0,1995,0
9,-0.2727272727272727,0.0,-0.6666666666666667,17,1,1.0,-0.16666666666666674,0.0,1,1,-0.29999999999999993,1,0,0,-1.0,0,1568,6,-0.5,0.33333333333333337,0.5,0.33333333333333326,1.0,-0.1428571428571429,0.0,0,0,0,1.0,0.5,-1.0,1994,0
10,-0.6363636363636364,-0.5,1.0,6,1,0.4285714285714284,-0.5,0.0,1,2,-1.0,0,0,0,1.0,0,13554,9,-0.5,0.9999999999999999,0.5,0.33333333333333326,1.0,1.0,-1.0,0,0,0,1.0,0.5,-1.0,1996,0
11,-0.2727272727272727,0.0,0.33333333333333326,15,1,0.4285714285714284,-0.33333333333333337,-0.5,1,1,-0.02499999999999991,0,1,0,-0.19999999999999996,0,5176,3,-0.5,0.9999999999999999,0.5,0.33333333333333326,-0.33333333333333337,0.7142857142857142,0.25,0,0,0,-0.33333333333333337,0.5,-1.0,1994,1
12,0.6363636363636365,0.0,-1.0,2,1,-0.4285714285714286,-0.5,-0.5,1,1,-0.19999999999999996,0,1,0,-0.19999999999999996,0,4631,1,-0.5,0.9999999999999999,0.5,0.33333333333333326,-0.33333333333333337,0.4285714285714284,0.0,0,0,0,0.33333333333333326,0.5,-1.0,1994,1
13,0.8181818181818183,-0.5,1.0,13,0,0.7142857142857142,0.8333333333333333,0.0,0,2,0.07499999999999996,0,2,1,-1.0,0,10893,13,-0.5,0.33333333333333337,0.5,0.33333333333333326,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,0.33333333333333326,0.5,-1.0,1995,2
14,0.6363636363636365,-1.0,-1.0,9,1,0.7142857142857142,0.6666666666666665,0.0,0,2,-0.44999999999999996,0,0,0,-1.0,0,5860,12,-0.5,0.33333333333333337,0.5,0.33333333333333326,-1.0,-0.1428571428571429,-0.25,0,0,0,0.33333333333333326,0.0,-0.5,1994,0
